log(f),phase_angle,T,t,incl,vel
6.225548038460526,-35.01,980.0,15.0,0.0,0.0
5.986452005284438,-40.52,980.0,15.0,0.0,0.0
5.754158681981268,-45.95,980.0,15.0,0.0,0.0
5.5310151306670585,-51.05,980.0,15.0,0.0,0.0
5.291292751611072,-56.19,980.0,15.0,0.0,0.0
5.0651234793803255,-60.59,980.0,15.0,0.0,0.0
4.833102254034098,-64.57,980.0,15.0,0.0,0.0
4.609162207257629,-67.87,980.0,15.0,0.0,0.0
4.3694478524670215,-70.87,980.0,15.0,0.0,0.0
4.148517041110494,-73.16,980.0,15.0,0.0,0.0
3.9094196195580313,-75.2,980.0,15.0,0.0,0.0
3.681854839176972,-76.78,980.0,15.0,0.0,0.0
3.4553698605505483,-78.05,980.0,15.0,0.0,0.0
3.2160718975354663,-79.1,980.0,15.0,0.0,0.0
2.9887076586170265,-79.94,980.0,15.0,0.0,0.0
2.7625383863862796,-80.54,980.0,15.0,0.0,0.0
2.517696472610991,-81.0,980.0,15.0,0.0,0.0
2.2956611779212213,-81.27,980.0,15.0,0.0,0.0
2.072542799988679,-81.42,980.0,15.0,0.0,0.0
1.8432444119165634,-81.45,980.0,15.0,0.0,0.0
1.6110366337977975,-81.37,980.0,15.0,0.0,0.0
1.3727024076004237,-81.17,980.0,15.0,0.0,0.0
1.1502555218199482,-80.85,980.0,15.0,0.0,0.0
0.9178894532378521,-80.3,980.0,15.0,0.0,0.0
0.6921466802263617,-79.71,980.0,15.0,0.0,0.0
0.46058440732924394,-78.94,980.0,15.0,0.0,0.0
0.23665190133900194,-78.03,980.0,15.0,0.0,0.0
-0.0010005003335835344,-76.87,980.0,15.0,0.0,0.0
-0.23281517101094082,-75.53,980.0,15.0,0.0,0.0
-0.45665314487759767,-74.04,980.0,15.0,0.0,0.0
-0.6851790109107684,-72.33,980.0,15.0,0.0,0.0
-0.9147918557504191,-70.44,980.0,15.0,0.0,0.0
-1.149800325437543,-68.42,980.0,15.0,0.0,0.0
-1.3783261914707137,-66.46,980.0,15.0,0.0,0.0
-1.6079390363103645,-64.64,980.0,15.0,0.0,0.0
-1.8394802054394668,-63.11,980.0,15.0,0.0,0.0
-2.071473372030659,-62.02,980.0,15.0,0.0,0.0
-2.3005870903313728,-61.4,980.0,15.0,0.0,0.0
-2.532627385999412,-61.18,980.0,15.0,0.0,0.0
-2.761925774071528,-61.21,980.0,15.0,0.0,0.0
-2.993135647706725,-61.4,980.0,15.0,0.0,0.0
-3.2231348817885843,-61.53,980.0,15.0,0.0,0.0
-3.4536492416645794,-61.42,980.0,15.0,0.0,0.0
-3.6840909373821393,-60.98,980.0,15.0,0.0,0.0
-3.914025008098819,-60.09,980.0,15.0,0.0,0.0
-4.144585778658848,-58.73,980.0,15.0,0.0,0.0
-4.374852430925881,-56.91,980.0,15.0,0.0,0.0
-4.605170185988091,-54.64,980.0,15.0,0.0,0.0
11.513924965303312,-1.114,0.0,0.0,60.0,70.0
11.282883171964862,-0.9874,0.0,0.0,60.0,70.0
11.053109762111983,-1.055,0.0,0.0,60.0,70.0
10.82377030567982,-0.5805,0.0,0.0,60.0,70.0
10.593880944899452,-0.6821,0.0,0.0,60.0,70.0
10.36217742188159,-1.131,0.0,0.0,60.0,70.0
10.133408088129361,-1.364,0.0,0.0,60.0,70.0
9.90448705286921,-1.746,0.0,0.0,60.0,70.0
9.673445259530762,-1.862,0.0,0.0,60.0,70.0
9.442245428958966,-2.471,0.0,0.0,60.0,70.0
9.21830854162536,-3.227,0.0,0.0,60.0,70.0
8.989194823324645,-3.529,0.0,0.0,60.0,70.0
8.75273950944749,-4.381,0.0,0.0,60.0,70.0
8.520388082312756,-5.347,0.0,0.0,60.0,70.0
8.290041618704489,-6.374,0.0,0.0,60.0,70.0
8.061802274538348,-8.133,0.0,0.0,60.0,70.0
7.8351837552667485,-9.876,0.0,0.0,60.0,70.0
7.588829878307813,-12.13,0.0,0.0,60.0,70.0
7.363913501405819,-14.68,0.0,0.0,60.0,70.0
7.143617602704121,-17.49,0.0,0.0,60.0,70.0
6.90605383234238,-21.18,0.0,0.0,60.0,70.0
6.680729200403702,-25.59,0.0,0.0,60.0,70.0
6.442221644407853,-30.35,0.0,0.0,60.0,70.0
6.225548038460526,-35.07,0.0,0.0,60.0,70.0
5.986452005284438,-40.59,0.0,0.0,60.0,70.0
5.754158681981268,-45.99,0.0,0.0,60.0,70.0
5.5310151306670585,-51.02,0.0,0.0,60.0,70.0
5.291292751611072,-56.06,0.0,0.0,60.0,70.0
5.0651234793803255,-60.35,0.0,0.0,60.0,70.0
4.833102254034098,-64.2,0.0,0.0,60.0,70.0
4.609162207257629,-67.38,0.0,0.0,60.0,70.0
4.3694478524670215,-70.25,0.0,0.0,60.0,70.0
4.148517041110494,-72.44,0.0,0.0,60.0,70.0
3.9094196195580313,-74.37,0.0,0.0,60.0,70.0
3.681854839176972,-75.86,0.0,0.0,60.0,70.0
3.4553698605505483,-77.04,0.0,0.0,60.0,70.0
3.2160718975354663,-78.01,0.0,0.0,60.0,70.0
2.9887076586170265,-78.76,0.0,0.0,60.0,70.0
2.7625383863862796,-79.3,0.0,0.0,60.0,70.0
2.517696472610991,-79.66,0.0,0.0,60.0,70.0
2.2956611779212213,-79.85,0.0,0.0,60.0,70.0
2.072542799988679,-79.92,0.0,0.0,60.0,70.0
1.8432444119165634,-79.86,0.0,0.0,60.0,70.0
