I,V,T,t,incl,vel
4.645e-06,-0.4586,0.0,0.0,0.0,0.0
4.632e-06,-0.4585,0.0,0.0,0.0,0.0
4.612e-06,-0.4583,0.0,0.0,0.0,0.0
4.597e-06,-0.4581,0.0,0.0,0.0,0.0
4.583e-06,-0.458,0.0,0.0,0.0,0.0
4.566e-06,-0.4578,0.0,0.0,0.0,0.0
4.554e-06,-0.4576,0.0,0.0,0.0,0.0
4.538e-06,-0.4575,0.0,0.0,0.0,0.0
4.52e-06,-0.4573,0.0,0.0,0.0,0.0
4.505e-06,-0.4571,0.0,0.0,0.0,0.0
4.495e-06,-0.457,0.0,0.0,0.0,0.0
4.475e-06,-0.4568,0.0,0.0,0.0,0.0
4.46e-06,-0.4566,0.0,0.0,0.0,0.0
4.443e-06,-0.4565,0.0,0.0,0.0,0.0
4.426e-06,-0.4563,0.0,0.0,0.0,0.0
4.415e-06,-0.4561,0.0,0.0,0.0,0.0
4.401e-06,-0.456,0.0,0.0,0.0,0.0
4.38e-06,-0.4558,0.0,0.0,0.0,0.0
4.372e-06,-0.4556,0.0,0.0,0.0,0.0
4.355e-06,-0.4555,0.0,0.0,0.0,0.0
4.339e-06,-0.4553,0.0,0.0,0.0,0.0
4.326e-06,-0.4551,0.0,0.0,0.0,0.0
4.316e-06,-0.455,0.0,0.0,0.0,0.0
4.296e-06,-0.4548,0.0,0.0,0.0,0.0
4.285e-06,-0.4546,0.0,0.0,0.0,0.0
4.275e-06,-0.4545,0.0,0.0,0.0,0.0
4.257e-06,-0.4543,0.0,0.0,0.0,0.0
4.246e-06,-0.4541,0.0,0.0,0.0,0.0
4.233e-06,-0.454,0.0,0.0,0.0,0.0
4.221e-06,-0.4538,0.0,0.0,0.0,0.0
4.207e-06,-0.4536,0.0,0.0,0.0,0.0
4.199e-06,-0.4535,0.0,0.0,0.0,0.0
4.179e-06,-0.4533,0.0,0.0,0.0,0.0
4.166e-06,-0.4532,0.0,0.0,0.0,0.0
4.155e-06,-0.453,0.0,0.0,0.0,0.0
4.137e-06,-0.4528,0.0,0.0,0.0,0.0
4.128e-06,-0.4526,0.0,0.0,0.0,0.0
4.118e-06,-0.4525,0.0,0.0,0.0,0.0
4.102e-06,-0.4523,0.0,0.0,0.0,0.0
4.09e-06,-0.4522,0.0,0.0,0.0,0.0
4.076e-06,-0.452,0.0,0.0,0.0,0.0
4.063e-06,-0.4518,0.0,0.0,0.0,0.0
4.055e-06,-0.4517,0.0,0.0,0.0,0.0
4.041e-06,-0.4515,0.0,0.0,0.0,0.0
4.026e-06,-0.4513,0.0,0.0,0.0,0.0
4.013e-06,-0.4512,0.0,0.0,0.0,0.0
4.005e-06,-0.451,0.0,0.0,0.0,0.0
3.991e-06,-0.4508,0.0,0.0,0.0,0.0
3.98e-06,-0.4507,0.0,0.0,0.0,0.0
3.971e-06,-0.4505,0.0,0.0,0.0,0.0
3.956e-06,-0.4503,0.0,0.0,0.0,0.0
3.95e-06,-0.4502,0.0,0.0,0.0,0.0
3.935e-06,-0.45,0.0,0.0,0.0,0.0
3.921e-06,-0.4498,0.0,0.0,0.0,0.0
3.91e-06,-0.4497,0.0,0.0,0.0,0.0
3.903e-06,-0.4495,0.0,0.0,0.0,0.0
3.884e-06,-0.4493,0.0,0.0,0.0,0.0
3.876e-06,-0.4492,0.0,0.0,0.0,0.0
3.867e-06,-0.449,0.0,0.0,0.0,0.0
3.855e-06,-0.4488,0.0,0.0,0.0,0.0
3.844e-06,-0.4487,0.0,0.0,0.0,0.0
3.831e-06,-0.4485,0.0,0.0,0.0,0.0
3.818e-06,-0.4483,0.0,0.0,0.0,0.0
3.81e-06,-0.4482,0.0,0.0,0.0,0.0
3.798e-06,-0.448,0.0,0.0,0.0,0.0
3.785e-06,-0.4478,0.0,0.0,0.0,0.0
3.78e-06,-0.4477,0.0,0.0,0.0,0.0
3.769e-06,-0.4475,0.0,0.0,0.0,0.0
3.755e-06,-0.4473,0.0,0.0,0.0,0.0
3.745e-06,-0.4472,0.0,0.0,0.0,0.0
3.736e-06,-0.447,0.0,0.0,0.0,0.0
3.72e-06,-0.4468,0.0,0.0,0.0,0.0
3.711e-06,-0.4467,0.0,0.0,0.0,0.0
3.703e-06,-0.4465,0.0,0.0,0.0,0.0
3.689e-06,-0.4463,0.0,0.0,0.0,0.0
3.68e-06,-0.4462,0.0,0.0,0.0,0.0
3.669e-06,-0.446,0.0,0.0,0.0,0.0
3.657e-06,-0.4458,0.0,0.0,0.0,0.0
3.65e-06,-0.4457,0.0,0.0,0.0,0.0
3.638e-06,-0.4455,0.0,0.0,0.0,0.0
3.627e-06,-0.4453,0.0,0.0,0.0,0.0
3.619e-06,-0.4452,0.0,0.0,0.0,0.0
3.613e-06,-0.445,0.0,0.0,0.0,0.0
3.598e-06,-0.4448,0.0,0.0,0.0,0.0
3.59e-06,-0.4447,0.0,0.0,0.0,0.0
3.58e-06,-0.4445,0.0,0.0,0.0,0.0
3.568e-06,-0.4443,0.0,0.0,0.0,0.0
3.559e-06,-0.4442,0.0,0.0,0.0,0.0
3.55e-06,-0.444,0.0,0.0,0.0,0.0
3.537e-06,-0.4438,0.0,0.0,0.0,0.0
3.53e-06,-0.4437,0.0,0.0,0.0,0.0
3.522e-06,-0.4435,0.0,0.0,0.0,0.0
3.508e-06,-0.4433,0.0,0.0,0.0,0.0
3.498e-06,-0.4432,0.0,0.0,0.0,0.0
